scenario,model,condition,trial_idx,seed,optimal_decision,consensus,is_optimal,unique_clues_surfaced,total_unique_clues,n_turns,votes_json,clues_surfaced_json
restaurant-grants,qwen2.5:7b,distractors=5,0,2500,South Market,South Market,1,5,5,10,"{""a1"": ""South Market"", ""a2"": ""South Market"", ""a3"": ""South Market"", ""a4"": ""South Market"", ""a5"": ""South Market""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
hiring-decision,qwen2.5:7b,distractors=5,0,2500,Candidate B (Beatriz),Candidate B (Beatriz),1,5,5,10,"{""a1"": ""Candidate B (Beatriz)"", ""a2"": ""Candidate B (Beatriz)"", ""a3"": ""Candidate B (Beatriz)"", ""a4"": ""Candidate B (Beatriz)"", ""a5"": ""Candidate B (Beatriz)""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
medical-treatment,qwen2.5:7b,distractors=5,0,2500,Treatment Plan C,Treatment Plan C,1,5,5,10,"{""a1"": ""Treatment Plan C"", ""a2"": ""Treatment Plan C"", ""a3"": ""Treatment Plan C"", ""a4"": ""Treatment Plan C"", ""a5"": ""Treatment Plan C""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
research-grant,qwen2.5:7b,distractors=5,0,2500,Lab Beta,Lab Beta,1,5,5,10,"{""a1"": ""Lab Beta"", ""a2"": ""Lab Beta"", ""a3"": ""Lab Beta"", ""a4"": ""Lab Beta"", ""a5"": ""Lab Beta""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
city-development,qwen2.5:7b,distractors=5,0,2500,Riverside Park Expansion,Riverside Park Expansion,1,4,5,10,"{""a1"": ""Riverside Park Expansion"", ""a2"": ""Riverside Park Expansion"", ""a3"": ""Riverside Park Expansion"", ""a4"": ""Riverside Park Expansion"", ""a5"": ""Riverside Park Expansion""}","{""a1"": false, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
restaurant-grants,qwen2.5:7b,distractors=5,0,2500,South Market,North End,0,5,5,10,"{""a1"": ""North End"", ""a2"": ""North End"", ""a3"": ""North End"", ""a4"": ""North End"", ""a5"": ""North End""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
hiring-decision,qwen2.5:7b,distractors=5,0,2500,Candidate B (Beatriz),Candidate B (Beatriz),1,5,5,10,"{""a1"": ""Candidate B (Beatriz)"", ""a2"": ""Candidate B (Beatriz)"", ""a3"": ""Candidate B (Beatriz)"", ""a4"": ""Candidate B (Beatriz)"", ""a5"": ""Candidate B (Beatriz)""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
medical-treatment,qwen2.5:7b,distractors=5,0,2500,Treatment Plan C,Treatment Plan C,1,5,5,10,"{""a1"": ""Treatment Plan C"", ""a2"": ""Treatment Plan C"", ""a3"": ""Treatment Plan C"", ""a4"": ""Treatment Plan C"", ""a5"": ""Treatment Plan C""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
research-grant,qwen2.5:7b,distractors=5,0,2500,Lab Beta,Lab Beta,1,5,5,10,"{""a1"": ""Lab Beta"", ""a2"": ""Lab Beta"", ""a3"": ""Lab Beta"", ""a4"": ""Lab Beta"", ""a5"": ""Lab Beta""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
city-development,qwen2.5:7b,distractors=5,0,2500,Riverside Park Expansion,Riverside Park Expansion,1,5,5,10,"{""a1"": ""Riverside Park Expansion"", ""a2"": ""Riverside Park Expansion"", ""a3"": ""Riverside Park Expansion"", ""a4"": ""Riverside Park Expansion"", ""a5"": ""Riverside Park Expansion""}","{""a1"": true, ""a2"": true, ""a3"": true, ""a4"": true, ""a5"": true}"
